,id,dt,t,side,price,amount,cost
54,4315142410,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.3,0.0001,9.74453
55,4315142411,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.3,0.0001,9.74453
56,4315142412,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.29,0.0001,9.744529
57,4315142413,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.29,0.0001,9.744529
58,4315142414,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.21,0.0001,9.744521
59,4315142415,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.21,0.0001,9.744521
60,4315142416,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.18,0.0001,9.744518
61,4315142417,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.18,0.0001,9.744518
62,4315142418,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.17,0.0001,9.744517
63,4315142419,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.17,0.0001,9.744517
64,4315142420,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.16,0.0001,9.744516
65,4315142421,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.16,0.0001,9.744516
66,4315142422,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.15,0.0001,9.744515
67,4315142423,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.15,0.0001,9.744515
68,4315142424,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.14,0.0001,9.744514
69,4315142425,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.14,0.0001,9.744514
70,4315142426,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.13,0.0001,9.744513
71,4315142427,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.13,6e-05,5.8467078
72,4315142428,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.13,8e-05,7.7956104
73,4315142429,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.13,8e-05,7.7956104
74,4315142430,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.13,8e-05,7.7956104
75,4315142431,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.13,0.0001,9.744513
76,4315142432,2024-12-21 01:19:31.576000+00:00,1734743971576,1,97445.12,0.38316,37337.0721792
77,4315142433,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.12,0.01806,1759.8588672
78,4315142434,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.12,0.09137,8903.5606144
79,4315142435,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.12,0.35782,34867.8128384
80,4315142436,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.12,0.0001,9.744512
81,4315142437,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.12,7e-05,6.8211584
82,4315142438,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.12,0.0001,9.744512
83,4315142439,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.11,0.00116,113.0363276
84,4315142440,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.11,0.0001,9.744511
85,4315142441,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97445.11,0.0001,9.744511
86,4315142442,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.93,0.0001,9.744493
87,4315142443,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.93,0.0001,9.744493
88,4315142444,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.71,0.0001,9.744471
89,4315142445,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.71,0.0001,9.744471
90,4315142446,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.15,0.0001,9.744415
91,4315142447,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.15,0.0001,9.744415
92,4315142448,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.14,0.0001,9.744414
93,4315142449,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97444.14,0.0001,9.744414
94,4315142450,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.94,0.0001,9.744394
95,4315142451,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.94,0.0001,9.744394
96,4315142452,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.93,0.0001,9.744393
97,4315142453,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.93,0.0001,9.744393
98,4315142454,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.92,0.0001,9.744392
99,4315142455,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.92,0.0001,9.744392
100,4315142456,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.91,0.14025,13666.5083775
101,4315142457,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.91,0.02199,2142.7915809
102,4315142458,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97443.49,0.00141,137.3953209
103,4315142459,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97442.61,0.11555,11259.4935855
104,4315142460,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97442.61,0.08979,8749.3719519
105,4315142461,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97442.3,0.00011,10.718653
106,4315142462,2024-12-21 01:19:31.577000+00:00,1734743971577,1,97442.01,6e-05,5.8465206
107,4315142463,2024-12-21 01:19:31.578000+00:00,1734743971578,1,97440.55,0.05708,5561.906594
